信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,步长
买点1-W1(下周一入场),42,2026/4/17,7.59,7.59,0.00%,9.47,,0,0.2183,是,sz.300088,长信科技,4.66,5.592
买点1-W1(下周一入场),42,2026/4/17,10.49,10.49,0.00%,5.81,,0,0.1089,大阴线,sz.002647,仁东控股,5.07,6.084
买点1-W2(缩量),49.4,2026/4/10,8.94,9.41,5.30%,3.14,0.76,1,0.2213,是,sz.002348,高乐股份,4.5,5.4
买点1-W1(下周一入场),42,2026/4/17,15.27,15.27,0.00%,4.86,,0,0.1447,大阴线,sz.300137,先河环保,7.41,8.892
买点1-W1(下周一入场),42,2026/4/17,7.79,7.79,0.00%,4.32,,0,0.1097,是,sh.600707,彩虹股份,4.47,5.364
买点1-W1(下周一入场),41.6,2026/4/17,13,13,0.00%,3.88,,0,0.2859,是,sz.002328,新朋股份,5.74,6.888
买点1-W1(下周一入场),41.4,2026/4/17,43.38,43.38,0.00%,3.8,,0,0.2043,是,sh.688253,英诺特,4.66,5.592
买点1-W2(温和),37,2026/4/10,22.08,24.29,10.00%,2.32,0.87,1,0.2145,是,sh.600641,先导基电,4.44,5.328
买点1-W1(下周一入场),41.2,2026/4/17,30.18,30.18,0.00%,3.72,,0,0.1943,大阴线,sz.002824,和胜股份,6.15,7.38
买点1-W1(下周一入场),40.7,2026/4/17,6.19,6.19,0.00%,3.56,,0,0.0879,大幅回吐/大阴线,sz.002418,康盛股份,5.85,7.02
买点1-W1(下周一入场),40.4,2026/4/17,28.35,28.35,0.00%,3.47,,0,0.0706,大阴线,sz.003036,泰坦股份,7.14,8.568
买点1-W1(下周一入场),40.3,2026/4/17,32.08,32.08,0.00%,3.45,,0,0.2051,是,sz.300322,硕贝德,4.85,5.82
买点1-W1(下周一入场),39.6,2026/4/17,22.47,22.47,0.00%,3.21,,0,0.2767,是,sh.600773,西藏城投,5.56,6.672
买点1-W1(下周一入场),39.6,2026/4/17,51.32,51.32,0.00%,3.19,,0,0.2337,是,sh.688081,兴图新科,5.21,6.252
买点1-W1(下周一入场),39.5,2026/4/17,35.07,35.07,0.00%,3.15,,0,0.1808,是,sz.300657,弘信电子,4.92,5.904
买点1-W2(温和),37.2,2026/4/10,43.53,48.25,10.80%,2.4,0.94,1,0.1458,是,sh.603203,快克智能,4.46,5.352
