信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认
买点2,5.0,2026-04-24,4.85,4.46,8.0%,4.91,+10.1%,0.82,1.0,2,sh.600103,青山纸业,7.52,9.02,74.7,4396,,,,
买点1-W3(缩量),37.6,2026-04-24,26.62,,,30.4,,2.52,,2,sh.600206,有研新材,5.22,6.26,81.0,614,+14.2%,0.73,0.143,大阴线
买点2,5.0,2026-04-24,49.01,42.41,13.5%,49.94,+17.8%,0.96,1.0,2,sh.600105,永鼎股份,7.0,8.4,99.4,322,,,,
买点1-W3(缩量),40.5,2026-04-24,22.85,,,28.61,,3.49,,2,sh.600234,科新发展,6.57,7.88,96.2,396,+25.2%,0.41,0.1471,大阴线
买点2,5.0,2026-04-24,69.54,65.7,5.5%,77.27,+17.6%,0.83,1.0,2,sh.600487,亨通光电,5.94,7.13,99.5,144,,,,
买点2,5.0,2026-04-24,31.82,31.6,0.7%,34.23,+8.3%,0.86,1.0,2,sh.600605,汇通能源,5.25,6.3,63.9,852,,,,
买点1-W3(缩量),37.5,2026-04-24,13.71,,,17.23,,2.49,,2,sh.600683,京投发展,6.79,8.15,99.1,132,+25.7%,0.53,0.1435,大阴线
买点1-W2(缩量),52.0,2026-04-30,7.62,,,7.84,,5.19,,1,sh.600770,综艺股份,7.29,8.75,83.9,64,+2.9%,0.7,0.0933,大阴线
买点1-W1(下周一入场),40.5,2026-05-08,5.17,,,5.17,,3.51,,0,sh.600936,北投科技,3.05,3.66,82.5,158,+0.0%,,0.2518,是
买点2,5.0,2026-04-10,24.9,22.78,8.5%,25.68,+12.7%,1.26,3.0,4,sh.601133,柏诚股份,5.0,6.0,94.8,1477,,,,
买点2,5.0,2026-04-24,7.17,6.5,9.3%,7.39,+13.7%,0.67,1.0,2,sh.601778,晶科科技,7.73,9.28,95.3,649,,,,
买点2,5.0,2026-04-10,384.38,353.9,7.9%,397.23,+12.2%,0.95,3.0,4,sh.601869,长飞光纤,6.65,7.98,99.9,2102,,,,
买点2,5.0,2026-04-24,14.39,13.82,4.0%,15.32,+10.9%,0.58,1.0,2,sh.603002,宏昌电子,6.56,7.87,95.7,563,,,,
买点1-W1(下周一入场),36.8,2026-05-08,24.33,,,24.33,,2.26,,0,sh.603050,科林电气,3.94,4.73,75.1,249,+0.0%,,0.1212,是
买点2,5.0,2026-04-24,58.51,56.89,2.8%,62.37,+9.6%,0.9,1.0,2,sh.603115,海星股份,6.78,8.14,99.2,163,,,,
买点2,5.0,2026-04-24,13.78,12.76,7.4%,15.88,+24.5%,1.35,1.0,2,sh.603158,腾龙股份,5.14,6.17,87.6,288,,,,
买点2,5.0,2026-04-17,40.15,38.4,4.4%,46.2,+20.3%,1.45,2.0,3,sh.603226,菲林格尔,4.58,5.5,65.6,347,,,,
买点1-W3(温和),31.4,2026-04-24,146.41,,,154.53,,3.8,,2,sh.603268,松发股份,5.57,6.68,97.5,821,+5.5%,0.83,0.2078,是
买点2,5.0,2026-04-17,19.9,18.92,4.9%,23.1,+22.1%,1.03,2.0,3,sh.603311,金海高科,5.35,6.42,91.7,297,,,,
买点1-W1(下周一入场),37.3,2026-05-08,23.99,,,23.99,,2.45,,0,sh.603399,永杉锂业,5.89,7.07,96.3,5,+0.0%,,0.2372,是
买点2,5.0,2026-04-24,39.81,38.32,3.7%,47.01,+22.7%,0.32,1.0,2,sh.603738,泰晶科技,7.07,8.48,99.1,79,,,,
买点2,5.0,2026-04-17,17.0,15.1,11.2%,18.3,+21.2%,1.48,2.0,3,sh.603777,来伊份,5.23,6.28,83.2,847,,,,
买点2,5.0,2026-04-17,15.75,14.3,9.2%,16.57,+15.9%,1.21,2.0,3,sh.603803,瑞斯康达,6.35,7.62,91.8,1389,,,,
买点2,5.0,2026-04-24,18.94,18.87,0.4%,20.24,+7.3%,0.84,1.0,2,sh.603890,春秋电子,5.75,6.9,80.7,2623,,,,
买点2,5.0,2026-04-24,10.92,10.58,3.1%,11.64,+10.0%,0.73,1.0,2,sh.603912,佳力图,6.09,7.31,80.8,974,,,,
买点2,5.0,2026-04-17,65.21,55.65,14.7%,68.5,+23.1%,1.39,2.0,3,sh.603950,长源东谷,6.95,8.34,94.3,540,,,,
买点2,5.0,2026-04-24,29.78,28.22,5.2%,33.97,+20.4%,1.32,1.0,2,sh.603938,三孚股份,5.05,6.06,92.6,501,,,,
