信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认,辨识度级别
买点2,5.0,2026-06-05,55.42,51.3,7.4%,62.12,+21.1%,0.89,1.0,2,sh.600105,永鼎股份,7.5,9.0,98.3,466,,,,,1
买点1-W3(温和),32.0,2026-06-05,3.44,,,3.58,,4.1,,2,sh.600162,香江控股,12.13,14.56,92.5,1045,+4.1%,1.12,0.233,是,
买点2,5.0,2026-05-15,28.1,25.05,10.9%,28.22,+12.7%,1.01,4.0,5,sh.600184,光电股份,6.86,8.23,85.7,1104,,,,,3
买点1-W2(温和),35.4,2026-06-12,57.15,,,65.16,,1.81,,1,sh.600378,昊华科技,8.02,9.62,94.6,31,+14.0%,1.01,0.2264,大阴线,1
买点2,5.0,2026-05-29,13.43,12.42,7.5%,14.4,+15.9%,1.4,2.0,3,sh.600601,方正科技,5.9,7.08,76.7,476,,,,,5
买点2,5.0,2026-05-15,28.88,25.7,11.0%,33.45,+30.2%,1.06,4.0,5,sh.600641,先导基电,5.72,6.86,93.6,191,,,,,2
买点2,5.0,2026-05-29,11.58,10.92,5.7%,13.14,+20.3%,1.52,2.0,3,sh.600888,新疆众和,6.66,7.99,90.3,254,,,,,2
买点2,5.0,2026-06-05,74.06,70.13,5.3%,78.08,+11.3%,1.16,1.0,2,sh.601138,工业富联,5.73,6.88,81.0,1779,,,,,4
买点2,5.0,2026-06-05,441.67,436.5,1.2%,471.55,+8.0%,0.74,1.0,2,sh.601869,长飞光纤,7.89,9.47,99.6,1163,,,,,2
买点2,5.0,2026-06-05,10.6,9.64,9.1%,11.89,+23.3%,1.16,1.0,2,sh.603001,奥康国际,6.43,7.72,84.7,642,,,,,4
买点2,5.0,2026-06-05,32.7,31.11,4.9%,39.55,+27.1%,0.7,1.0,2,sh.603011,合锻智能,9.38,11.26,91.1,250,,,,,2
买点1-W2(温和),41.0,2026-06-12,13.04,,,13.96,,3.65,,1,sh.603020,爱普股份,5.74,6.89,84.2,52,+7.1%,1.48,0.2221,是,2
买点2,5.0,2026-05-22,315.5,295.0,6.5%,350.8,+18.9%,0.84,3.0,4,sh.603061,金海通,6.57,7.88,99.0,637,,,,,1
买点1-W1(下周一入场),42.0,2026-06-18,15.62,,,15.62,,6.11,,0,sh.603065,宿迁联盛,7.27,8.72,92.4,6,+0.0%,,0.1485,是,
买点2,5.0,2026-05-22,26.35,24.18,8.2%,28.72,+18.8%,1.45,3.0,4,sh.603125,常青科技,4.38,5.26,87.8,350,,,,,3
买点1-W2(缩量),45.8,2026-06-12,76.43,,,78.72,,1.93,,1,sh.603150,万朗磁塑,5.77,6.92,94.1,361,+3.0%,0.56,0.1308,大阴线,2
买点1-W2(温和),39.0,2026-06-12,22.61,,,23.06,,3.0,,1,sh.603155,新亚强,7.15,8.58,80.3,384,+2.0%,0.99,0.1396,大幅回吐/大阴线,4
买点2,5.0,2026-05-15,30.47,27.2,10.7%,36.44,+34.0%,0.66,4.0,5,sh.603211,晋拓股份,6.15,7.38,91.6,109,,,,,2
买点1-W1(下周一入场),42.0,2026-06-18,44.77,,,44.77,,4.94,,0,sh.603261,立航科技,4.31,5.17,92.9,97,+0.0%,,0.2618,是,
买点2,5.0,2026-05-22,23.1,21.57,6.6%,24.28,+12.6%,1.27,3.0,4,sh.603269,海鸥股份,7.15,8.58,92.5,555,,,,,2
买点2,5.0,2026-05-22,51.24,48.18,6.0%,62.6,+29.9%,1.23,3.0,4,sh.603283,赛腾股份,5.9,7.08,93.0,164,,,,,2
