信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数,辨识度级别
买点1-W2(缩量),46.0,2026-06-26,16.65,18.03,+8.3%,2.0,0.71,1,0.1884,大阴线,sh.600172,黄河旋风,9.68,11.62,97.9,204,,,,,1
买点1-W2(缩量),52.0,2026-06-26,3.27,3.39,+3.7%,4.91,0.63,1,0.2156,大阴线,sh.600400,红豆股份,7.14,8.57,86.0,94,,,,,1
买点2,5.0,2026-06-18,16.71,17.44,,0.95,,2,,,sh.600458,时代新材,8.45,10.14,79.4,2336,15.71,6.0%,+11.0%,1.0,5
买点1-W3(温和),27.4,2026-06-18,8.83,7.51,-14.9%,2.48,0.94,2,0.1135,大阴线,sh.600500,中化国际,11.6,13.92,92.7,4753,,,,,
买点2,5.0,2026-06-18,14.4,14.92,,1.58,,2,,,sh.600601,方正科技,7.28,8.74,80.4,974,13.0,9.7%,+14.8%,1.0,4
买点1-W1(下周一入场),35.0,2026-07-03,7.7,7.7,+0.0%,1.67,,0,0.2399,大阴线,sh.601678,滨化股份,7.07,8.48,89.4,243,,,,,
买点1-W1(下周一入场),35.6,2026-07-03,28.76,28.76,+0.0%,1.87,,0,0.135,大阴线,sh.603155,新亚强,8.79,10.55,88.3,288,,,,,
买点1-W1(下周一入场),37.8,2026-07-03,34.88,34.88,+0.0%,2.58,,0,0.1041,大阴线,sh.603270,金帝股份,6.38,7.66,81.8,674,,,,,
买点1-W3(温和),25.8,2026-06-18,14.4,11.71,-18.7%,1.92,0.99,2,0.1103,大幅回吐/大阴线,sh.603458,勘设股份,11.78,14.14,69.6,4936,,,,,
买点1-W1(下周一入场),39.3,2026-07-03,27.39,27.39,+0.0%,3.09,,0,0.1796,大阴线,sh.603580,艾艾精工,5.79,6.95,93.3,309,,,,,
买点1-W1(下周一入场),35.1,2026-07-03,97.71,97.71,+0.0%,1.7,,0,0.1384,大幅回吐/大阴线,sh.603650,彤程新材,8.35,10.02,94.0,55,,,,,
买点1-W2(温和),42.0,2026-06-26,5.54,6.06,+9.4%,3.99,1.07,1,0.1423,大阴线,sh.603669,灵康药业,6.36,7.63,83.2,123,,,,,2
买点1-W3(温和),25.9,2026-06-18,58.99,59.45,+0.8%,1.97,1.08,2,0.1401,大阴线,sh.603738,泰晶科技,10.87,13.04,98.7,4189,,,,,
买点1-W1(下周一入场),34.9,2026-07-03,112.28,112.28,+0.0%,1.65,,0,0.2687,大阴线,sh.605178,时空科技,6.14,7.37,95.7,1,,,,,
买点1-W1(下周一入场),37.4,2026-07-03,16.62,16.62,+0.0%,2.47,,0,0.244,是,sh.688057,金达莱,6.58,7.9,83.5,161,,,,,
买点2,5.0,2026-06-18,47.73,51.4,,1.6,,2,,,sh.688163,赛伦生物,8.36,10.03,95.7,1476,43.54,8.8%,+18.1%,1.0,3
买点1-W2(温和),42.0,2026-06-26,24.9,26.21,+5.3%,4.05,0.87,1,0.1196,大幅回吐/大阴线,sh.688179,阿拉丁,9.15,10.98,94.2,308,,,,,2
买点2,5.0,2026-06-18,21.13,22.58,,1.59,,2,,,sh.688207,格灵深瞳,7.99,9.59,87.2,675,19.2,9.1%,+17.6%,1.0,3
买点1-W1(下周一入场),36.9,2026-07-03,51.3,51.3,+0.0%,2.31,,0,0.257,大幅回吐/大阴线,sh.688216,气派科技,10.11,12.13,92.5,1022,,,,,
买点1-W2(温和),35.6,2026-06-26,231.99,249.0,+7.3%,1.87,0.86,1,0.2316,大阴线,sh.688268,华特气体,13.36,16.03,99.2,211,,,,,1
买点1-W1(下周一入场),37.3,2026-07-03,136.31,136.31,+0.0%,2.42,,0,0.2763,是,sh.688266,泽璟制药,6.53,7.84,88.2,12,,,,,
买点1-W1(下周一入场),35.6,2026-07-03,75.56,75.56,+0.0%,1.87,,0,0.2387,是,sh.688305,科德数控,6.56,7.87,78.8,900,,,,,
买点1-W1(下周一入场),35.0,2026-07-03,62.09,62.09,+0.0%,1.67,,0,0.1382,大阴线,sh.688345,博力威,7.01,8.41,92.9,455,,,,,
买点1-W2(温和),35.1,2026-06-26,201.99,221.71,+9.8%,1.71,1.29,1,0.193,大阴线,sh.688392,骄成超声,8.91,10.69,92.1,170,,,,,2
买点1-W1(下周一入场),36.4,2026-07-03,64.22,64.22,+0.0%,2.14,,0,0.1773,大阴线,sh.688450,光格科技,8.5,10.2,96.0,167,,,,,
买点1-W1(下周一入场),37.1,2026-07-03,122.2,122.2,+0.0%,2.37,,0,0.2866,大阴线,sh.688503,聚和材料,7.74,9.29,92.6,282,,,,,
买点1-W1(下周一入场),34.9,2026-07-03,49.2,49.2,+0.0%,1.63,,0,0.27,大阴线,sh.688548,广钢气体,11.18,13.42,98.5,40,,,,,
买点1-W3(温和),24.8,2026-06-18,194.65,175.33,-9.9%,1.61,1.05,2,0.2604,大阴线,sh.688603,天承科技,13.81,16.57,95.2,4714,,,,,
买点1-W1(下周一入场),35.2,2026-07-03,16.05,16.05,+0.0%,1.75,,0,0.1383,大阴线,sh.688620,安凯微,6.3,7.56,84.9,147,,,,,
买点1-W1(下周一入场),34.9,2026-07-03,179.4,179.4,+0.0%,1.62,,0,0.2388,大阴线,sh.688629,华丰科技,7.47,8.96,91.6,363,,,,,
买点1-W3(温和),25.1,2026-06-18,63.9,60.37,-5.5%,1.7,1.42,2,0.5106,是,sh.688757,胜科纳米,12.27,14.72,95.1,4243,,,,,
买点1-W1(下周一入场),36.6,2026-07-03,21.78,21.78,+0.0%,2.19,,0,0.1344,大阴线,sh.688758,赛分科技,5.23,6.28,79.0,566,,,,,
买点1-W1(下周一入场),35.8,2026-07-03,29.7,29.7,+0.0%,1.94,,0,0.1776,是,sz.001256,炜冈科技,6.08,7.3,84.1,225,,,,,
买点1-W2(温和),35.0,2026-06-26,30.52,32.82,+7.5%,1.66,0.92,1,0.125,大阴线,sz.002056,横店东磁,7.77,9.32,90.5,190,,,,,2
买点1-W1(下周一入场),34.8,2026-07-03,27.44,27.44,+0.0%,1.6,,0,0.2147,是,sz.002317,众生药业,6.34,7.61,85.7,213,,,,,
买点1-W2(温和),42.0,2026-06-26,12.49,12.93,+3.5%,4.56,0.83,1,0.1303,大阴线,sz.002452,长高电气,5.16,6.19,88.8,271,,,,,3
买点1-W2(缩量),47.2,2026-06-26,48.12,51.96,+8.0%,2.4,0.68,1,0.0527,大幅回吐/大阴线,sz.002536,飞龙股份,7.2,8.64,89.5,379,,,,,3
买点1-W1(下周一入场),36.6,2026-07-03,14.24,14.24,+0.0%,2.22,,0,0.1568,是,sz.002559,亚威股份,6.29,7.55,85.4,75,,,,,
买点1-W2(温和),38.1,2026-06-26,9.89,10.91,+10.3%,2.72,0.93,1,0.2696,是,sz.002631,德尔未来,7.17,8.6,92.3,35,,,,,1
买点1-W1(下周一入场),35.1,2026-07-03,23.36,23.36,+0.0%,1.7,,0,0.1949,大阴线,sz.002635,安洁科技,6.62,7.94,90.6,99,,,,,
买点1-W2(缩量),44.9,2026-06-26,14.04,14.39,+2.5%,1.62,0.65,1,0.1424,是,sz.002774,快意电梯,6.09,7.31,88.9,270,,,,,3
买点1-W1(下周一入场),35.5,2026-07-03,165.8,165.8,+0.0%,1.85,,0,0.0872,大幅回吐/大阴线,sz.002821,凯莱英,6.65,7.98,92.0,54,,,,,
买点1-W1(下周一入场),35.6,2026-07-03,15.96,15.96,+0.0%,1.87,,0,0.1466,是,sz.002860,星帅尔,5.03,6.04,77.5,578,,,,,
买点1-W1(下周一入场),35.2,2026-07-03,23.2,23.2,+0.0%,1.73,,0,0.1,大阴线,sz.002935,天奥电子,4.85,5.82,71.9,688,,,,,
买点1-W1(下周一入场),35.1,2026-07-03,37.15,37.15,+0.0%,1.7,,0,0.1896,大阴线,sz.002955,鸿合科技,5.91,7.09,80.3,785,,,,,
买点1-W3(缩量),37.8,2026-06-18,16.72,18.81,+12.5%,2.6,0.71,2,0.2648,是,sz.002972,科安达,6.03,7.24,88.9,437,,,,,
买点1-W1(下周一入场),35.1,2026-07-03,24.98,24.98,+0.0%,1.7,,0,0.2635,大阴线,sz.300199,翰宇药业,6.38,7.66,84.2,388,,,,,
买点1-W2(温和),35.1,2026-06-26,233.21,259.56,+11.3%,1.71,1.28,1,0.2535,是,sz.300223,北京君正,8.41,10.09,96.0,37,,,,,1
买点1-W2(温和),39.0,2026-06-26,20.81,22.5,+8.1%,2.99,0.9,1,0.2901,是,sz.300382,斯莱克,7.19,8.63,85.6,38,,,,,1
买点1-W2(温和),35.9,2026-06-26,9.68,9.88,+2.1%,1.97,0.81,1,0.2924,是,sz.300420,五洋自控,10.15,12.18,97.0,68,,,,,1
买点1-W2(温和),35.8,2026-06-26,39.73,41.24,+3.8%,1.92,1.26,1,0.0709,大阴线,sz.300480,光力科技,7.59,9.11,96.9,483,,,,,1
买点2,5.0,2026-06-18,41.68,45.82,,1.39,,2,,,sz.300488,恒锋工具,8.87,10.64,85.2,518,39.82,4.5%,+15.1%,1.0,3
买点1-W2(温和),38.8,2026-06-26,20.66,21.86,+5.8%,2.93,0.8,1,0.0606,大幅回吐/大阴线,sz.300497,富祥股份,8.8,10.56,85.3,452,,,,,3
买点1-W1(下周一入场),35.9,2026-07-03,108.11,108.11,+0.0%,1.98,,0,0.2164,大阴线,sz.300720,海川智能,8.84,10.61,98.4,65,,,,,
买点1-W1(下周一入场),42.0,2026-07-03,31.0,31.0,+0.0%,5.04,,0,0.1814,是,sz.300873,海晨股份,6.94,8.33,93.8,6,,,,,
买点1-W2(温和),37.4,2026-06-26,53.3,59.38,+11.4%,2.46,0.93,1,0.2097,大阴线,sz.300907,康平科技,9.08,10.9,93.7,56,,,,,1
买点1-W2(温和),42.0,2026-06-26,28.18,31.07,+10.3%,4.93,0.91,1,0.0558,大幅回吐/大阴线,sz.300966,共同药业,7.6,9.12,88.6,290,,,,,3
买点1-W1(下周一入场),36.4,2026-07-03,22.77,22.77,+0.0%,2.14,,0,0.0864,大阴线,sz.301051,信濠光电,8.24,9.89,89.9,31,,,,,
买点1-W1(下周一入场),35.3,2026-07-03,56.37,56.37,+0.0%,1.76,,0,0.2518,大阴线,sz.301281,科源制药,7.24,8.69,93.2,432,,,,,
买点1-W1(下周一入场),37.4,2026-07-03,40.02,40.02,+0.0%,2.46,,0,0.2417,是,sz.301365,矩阵股份,7.3,8.76,89.6,329,,,,,
买点1-W1(下周一入场),38.8,2026-07-03,66.73,66.73,+0.0%,2.93,,0,0.1893,大阴线,sz.301393,昊帆生物,6.62,7.94,82.6,122,,,,,
买点1-W3(温和),25.2,2026-06-18,112.64,117.5,+4.3%,1.72,1.05,2,0.2379,是,sz.301536,星宸科技,7.04,8.45,93.4,1064,,,,,
买点1-W1(下周一入场),35.1,2026-06-26,10.25,10.25,+0.0%,1.7,,0,0.0824,大阴线,sz.300214,日科化学,5.63,6.76,87.4,34,,,,,
