股票代码,股票名称,100日新高日期,新高收盘价,当前价,较新高涨跌幅,ATR%,网格步长,RPS120(百分位),10日涨幅排名,辨识度级别
sh.600566,济川药业,2026-07-21,27.19,27.19,+0.00%,4.05,4.86,87.2,67,1
sh.600664,哈药股份,2026-07-21,5.84,5.84,+0.00%,6.35,7.62,97.0,1,1
sh.600886,国投电力,2026-07-21,15.03,15.03,+0.00%,2.57,3.08,88.4,157,2
sh.603823,百合花,2026-07-21,81.93,81.93,+0.00%,9.81,11.77,99.9,122,1
sh.688293,奥浦迈,2026-07-21,56.22,56.22,+0.00%,7.62,9.14,81.8,14,2
sh.688506,百利天恒,2026-07-21,341.7,341.7,+0.00%,8.02,9.62,87.8,166,2
sh.688578,艾力斯,2026-07-21,133.0,133.0,+0.00%,8.19,9.83,93.6,286,2
sh.688758,赛分科技,2026-07-21,25.48,25.48,+0.00%,7.35,8.82,93.5,47,1
sz.000598,兴蓉环境,2026-07-21,7.19,7.19,+0.00%,2.4,2.88,84.5,145,2
sz.000651,格力电器,2026-07-21,40.59,40.59,+0.00%,1.87,2.24,83.5,548,4
sz.000938,紫光股份,2026-07-21,41.46,41.46,+0.00%,8.58,10.3,95.6,16,1
sz.002293,罗莱生活,2026-07-21,11.85,11.85,+0.00%,3.63,4.36,92.0,362,2
sz.002396,星网锐捷,2026-07-21,31.61,31.61,+0.00%,9.56,11.47,94.9,56,1
sz.300534,陇神戎发,2026-07-21,13.8,13.8,+0.00%,8.19,9.83,94.5,2,1
sz.301165,锐捷网络,2026-07-21,110.86,110.86,+0.00%,11.42,13.7,98.4,71,1
sz.301273,瑞晨环保,2026-07-21,35.52,35.52,+0.00%,7.97,9.56,97.4,106,1
sh.600012,皖通高速,2026-07-20,18.78,18.06,-3.83%,4.39,5.27,92.4,435,2
sh.600177,雅戈尔,2026-07-20,7.91,7.85,-0.76%,2.34,2.81,88.2,1082,3
sh.600267,海正药业,2026-07-20,12.45,12.18,-2.17%,5.02,6.02,90.1,102,2
sh.600428,中远海特,2026-07-20,11.17,10.9,-2.42%,5.41,6.49,95.1,17,1
sh.600535,天士力,2026-07-20,16.06,15.96,-0.62%,3.35,4.02,85.7,113,2
sh.600881,亚泰集团,2026-07-20,1.89,1.7,-10.05%,6.55,7.86,74.1,101,2
sh.600900,长江电力,2026-07-20,28.98,28.73,-0.86%,2.19,2.63,87.8,353,3
sh.601328,交通银行,2026-07-20,7.03,6.81,-3.13%,2.41,2.89,83.4,720,4
