信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,回踩低点,回踩幅度,距低点涨幅,回踩周数
买点1-W1(下周一入场),37.6,2026/4/24,26.62,26.62,0.00%,2.52,,0,0.143,大阴线,sh.600206,有研新材,4.67,5.6,,,,
买点1-W1(下周一入场),36.3,2026/4/24,25.89,25.89,0.00%,2.1,,0,0.1914,是,sh.600330,天通股份,6.64,7.97,,,,
买点1-W1(下周一入场),38.8,2026/4/24,10.95,10.95,0.00%,2.92,,0,0.1954,大阴线,sh.600510,黑牡丹,4.88,5.86,,,,
买点1-W2(温和),39.2,2026/4/17,21.71,22.57,4.00%,3.06,1.13,1,0.2183,大阴线,sh.600338,西藏珠峰,6.01,7.21,,,,
买点1-W1(下周一入场),37.5,2026/4/24,13.71,13.71,0.00%,2.49,,0,0.1435,大阴线,sh.600683,京投发展,5.88,7.06,,,,
买点2,5,2026/4/10,96.91,98.8,,1.04,,2,,,sh.603345,安井食品,3.45,4.14,92.79,4.30%,6.50%,1
买点1-W3(温和),27,2026/4/10,22.08,27.22,23.30%,2.32,0.87,2,0.2145,是,sh.600641,先导基电,4.93,5.92,,,,
买点1-W2(温和),39.6,2026/4/17,22.47,24.66,9.70%,3.21,0.85,1,0.2767,是,sh.600773,西藏城投,5.85,7.02,,,,
买点1-W1(下周一入场),42,2026/4/24,7.29,7.29,0.00%,6.02,,0,0.1517,是,sh.603060,国检集团,2.84,3.41,,,,
买点1-W2(温和),36.5,2026/4/17,12.94,14.39,11.20%,2.18,1.07,1,0.1828,是,sh.603002,宏昌电子,5.99,7.19,,,,
买点2,5,2026/4/3,28.11,28.63,,1.08,,3,,,sz.002730,电光科技,5.83,7,26.84,4.50%,6.70%,2
买点1-W1(下周一入场),41.4,2026/4/24,146.41,146.41,0.00%,3.8,,0,0.2078,是,sh.603268,松发股份,4.53,5.44,,,,
买点2,5,2026/4/3,27.65,30.56,,1.31,,3,,,sh.603618,杭电股份,7.59,9.11,24.12,12.80%,26.70%,2
买点1-W1(下周一入场),42,2026/4/24,14.6,14.6,0.00%,5.4,,0,0.2167,是,sh.603390,通达电气,2.5,3,,,,
买点1-W3(温和),27.2,2026/4/10,43.53,45.92,5.50%,2.4,0.94,2,0.1458,是,sh.603203,快克智能,5.09,6.11,,,,
买点2,5,2026/4/10,12.69,13.18,,1.32,,2,,,sh.600791,京能置业,7.18,8.62,12.45,1.90%,5.90%,1
买点1-W1(下周一入场),36.2,2026/4/24,47.52,47.52,0.00%,2.07,,0,0.1339,是,sh.603655,朗博科技,3.71,4.45,,,,
买点1-W2(温和),36.6,2026/4/17,105.3,107,1.60%,2.21,0.84,1,0.2971,是,sh.603256,宏和科技,6.91,8.29,,,,
买点1-W1(下周一入场),37.7,2026/4/24,62.49,62.49,0.00%,2.57,,0,0.1414,大阴线,sh.605298,必得科技,5.4,6.48,,,,
买点1-W1(下周一入场),38.9,2026/4/24,90.65,90.65,0.00%,2.98,,0,0.2337,是,sh.605389,长龄液压,3.39,4.07,,,,
买点1-W1(下周一入场),41.5,2026/4/24,119.3,119.3,0.00%,3.83,,0,0.2533,大阴线,sh.688020,方邦股份,6.57,7.88,,,,
买点1-W1(下周一入场),42,2026/4/24,120.8,120.8,0.00%,5.24,,0,0.1918,大阴线,sh.688227,品高股份,7.1,8.52,,,,
买点1-W2(温和),37,2026/4/17,12.85,14.35,11.70%,2.32,1.07,1,0.089,大幅回吐/大阴线,sh.603399,永杉锂业,6.03,7.24,,,,
买点1-W1(下周一入场),37.1,2026/4/24,29.34,29.34,0.00%,2.38,,0,0.1647,是,sh.688381,帝奥微,4.64,5.57,,,,
买点1-W1(下周一入场),39.8,2026/4/24,65,65,0.00%,3.28,,0,0.1386,大幅回吐/大阴线,sh.688401,路维光电,5.34,6.41,,,,
买点1-W2(温和),36.2,2026/4/17,34.37,34.8,1.30%,2.05,0.83,1,0.248,是,sh.603826,坤彩科技,5.83,7,,,,
买点1-W1(下周一入场),38.5,2026/4/24,76.6,76.6,0.00%,2.83,,0,0.1541,是,sh.688508,芯朋微,5.15,6.18,,,,
买点1-W1(下周一入场),36.2,2026/4/24,98.04,98.04,0.00%,2.06,,0,0.2602,大阴线,sh.688628,优利德,7.04,8.45,,,,
