信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数
买点1-W1(下周一入场),42.0,2026-05-15,4.28,4.28,+0.0%,9.09,,0,0.1889,大阴线,sh.600076,康欣新材,5.55,6.66,85.2,181,,,,
买点1-W1(下周一入场),41.1,2026-05-15,18.65,18.65,+0.0%,3.69,,0,0.1649,大阴线,sh.600088,中视传媒,3.75,4.5,54.5,447,,,,
买点1-W1(下周一入场),42.0,2026-05-15,14.82,14.82,+0.0%,4.65,,0,0.1068,大阴线,sh.600449,宁夏建材,3.18,3.82,61.1,682,,,,
买点1-W1(下周一入场),42.0,2026-05-15,7.01,7.01,+0.0%,4.38,,0,0.1683,大幅回吐,sh.600488,津药药业,8.72,10.46,88.7,821,,,,
买点1-W1(下周一入场),37.9,2026-05-15,10.69,10.69,+0.0%,2.62,,0,0.2038,是,sh.600707,彩虹股份,6.92,8.3,92.2,354,,,,
买点1-W3(缩量),42.0,2026-04-30,7.62,7.17,-5.9%,5.19,0.7,2,0.0933,大阴线,sh.600770,综艺股份,8.76,10.51,80.7,1187,,,,
买点1-W1(下周一入场),37.6,2026-05-15,16.05,16.05,+0.0%,2.54,,0,0.12,是,sh.600791,京能置业,6.09,7.31,98.8,325,,,,
买点1-W1(下周一入场),37.0,2026-05-15,21.63,21.63,+0.0%,2.34,,0,0.1426,大阴线,sh.600869,远东股份,6.61,7.93,98.7,333,,,,
买点1-W1(下周一入场),38.3,2026-05-15,24.63,24.63,+0.0%,2.76,,0,0.0562,是,sh.600962,国投中鲁,4.33,5.2,70.6,609,,,,
买点1-W1(下周一入场),36.1,2026-05-15,76.51,76.51,+0.0%,2.03,,0,0.1917,大阴线,sh.601126,四方股份,7.07,8.48,98.1,55,,,,
买点1-W1(下周一入场),42.0,2026-05-15,13.0,13.0,+0.0%,14.96,,0,0.2536,是,sh.601609,金田股份,4.18,5.02,74.1,232,,,,
买点1-W1(下周一入场),39.1,2026-05-15,28.21,28.21,+0.0%,3.04,,0,0.1159,大阴线,sh.601858,中国科传,6.11,7.33,85.6,368,,,,
买点1-W1(下周一入场),42.0,2026-05-15,8.37,8.37,+0.0%,4.21,,0,0.272,大阴线,sh.603007,顺景科技,6.07,7.28,83.1,90,,,,
买点1-W1(下周一入场),36.4,2026-05-15,113.47,113.47,+0.0%,2.13,,0,0.2712,大阴线,sh.603052,可川科技,6.47,7.76,99.0,152,,,,
买点1-W1(下周一入场),37.4,2026-05-15,100.91,100.91,+0.0%,2.46,,0,0.1719,大阴线,sh.603186,华正新材,7.08,8.5,97.3,174,,,,
买点1-W1(下周一入场),37.2,2026-05-15,30.47,30.47,+0.0%,2.41,,0,0.0824,大阴线,sh.603211,晋拓股份,5.69,6.83,90.7,413,,,,
买点1-W1(下周一入场),37.9,2026-05-15,21.68,21.68,+0.0%,2.63,,0,0.2851,是,sh.603269,海鸥股份,4.7,5.64,91.6,53,,,,
买点1-W1(下周一入场),36.6,2026-05-15,61.2,61.2,+0.0%,2.21,,0,0.1188,是,sh.603283,赛腾股份,4.47,5.36,73.5,928,,,,
买点1-W1(下周一入场),41.3,2026-05-15,124.95,124.95,+0.0%,3.77,,0,0.1759,是,sh.603290,斯达半导,5.25,6.3,79.1,879,,,,
买点2,5.0,2026-04-17,19.9,23.1,,1.03,,3,,,sh.603311,金海高科,5.35,6.42,91.2,417,18.92,4.9%,+22.1%,2.0
买点1-W1(下周一入场),37.3,2026-05-15,9.65,9.65,+0.0%,2.44,,0,0.13,是,sh.603333,尚纬股份,3.56,4.27,71.3,403,,,,
买点2,5.0,2026-04-30,12.08,13.56,,1.79,,2,,,sh.603520,司太立,4.63,5.56,70.4,727,11.86,1.8%,+14.3%,1.0
买点1-W1(下周一入场),42.0,2026-05-15,55.58,55.58,+0.0%,4.61,,0,0.1823,大阴线,sh.603738,泰晶科技,7.45,8.94,99.4,131,,,,
买点1-W1(下周一入场),36.5,2026-05-15,61.8,61.8,+0.0%,2.16,,0,0.1247,大阴线,sh.603757,大元泵业,5.97,7.16,90.0,272,,,,
买点1-W1(下周一入场),42.0,2026-05-15,21.75,21.75,+0.0%,5.68,,0,0.0979,大阴线,sh.603776,永安行,4.05,4.86,63.8,974,,,,
买点1-W1(下周一入场),40.2,2026-05-15,20.52,20.52,+0.0%,3.4,,0,0.1759,大阴线,sh.603823,百合花,4.42,5.3,78.9,290,,,,
买点1-W1(下周一入场),37.8,2026-05-15,19.16,19.16,+0.0%,2.6,,0,0.0856,大阴线,sh.603915,国茂股份,4.28,5.14,66.0,419,,,,
买点1-W1(下周一入场),40.4,2026-05-15,15.01,15.01,+0.0%,3.45,,0,0.1922,是,sh.603916,苏博特,4.82,5.78,86.3,200,,,,
买点1-W1(下周一入场),38.9,2026-05-15,40.39,40.39,+0.0%,2.97,,0,0.189,是,sh.603938,三孚股份,5.42,6.5,92.3,91,,,,
买点1-W1(下周一入场),42.0,2026-05-15,58.0,58.0,+0.0%,5.57,,0,0.2301,是,sh.605198,安德利,4.61,5.53,84.4,287,,,,
买点1-W1(下周一入场),38.3,2026-05-15,15.54,15.54,+0.0%,2.77,,0,0.1037,是,sh.605208,永茂泰,5.49,6.59,61.6,2188,,,,
买点1-W1(下周一入场),38.6,2026-05-15,96.45,96.45,+0.0%,2.87,,0,0.2384,大阴线,sh.688003,天准科技,5.75,6.9,92.9,122,,,,
买点1-W1(下周一入场),36.2,2026-05-15,432.9,432.9,+0.0%,2.07,,0,0.17,大阴线,sh.688012,中微公司,6.47,7.76,85.1,484,,,,
买点1-W1(下周一入场),37.7,2026-05-15,305.5,305.5,+0.0%,2.55,,0,0.1616,大阴线,sh.688017,绿的谐波,5.94,7.13,95.3,51,,,,
买点1-W1(下周一入场),37.3,2026-05-15,276.74,276.74,+0.0%,2.42,,0,0.2139,大阴线,sh.688037,芯源微,8.91,10.69,96.0,120,,,,
买点1-W1(下周一入场),37.4,2026-05-15,220.42,220.42,+0.0%,2.46,,0,0.0966,大阴线,sh.688052,纳芯微,5.37,6.44,84.4,503,,,,
买点1-W1(下周一入场),36.5,2026-05-15,529.94,529.94,+0.0%,2.16,,0,0.1445,大阴线,sh.688072,拓荆科技,6.93,8.32,88.1,312,,,,
买点1-W1(下周一入场),36.1,2026-05-15,95.5,95.5,+0.0%,2.03,,0,0.1264,大阴线,sh.688127,蓝特光学,5.7,6.84,98.8,109,,,,
买点1-W1(下周一入场),36.1,2026-05-15,513.97,513.97,+0.0%,2.03,,0,0.1825,大阴线,sh.688167,炬光科技,7.55,9.06,99.6,104,,,,
买点1-W1(下周一入场),37.1,2026-05-15,73.64,73.64,+0.0%,2.38,,0,0.1494,是,sh.688170,德龙激光,6.26,7.51,93.7,689,,,,
买点2,5.0,2026-04-30,349.5,412.0,,1.91,,2,,,sh.688200,华峰测控,6.66,7.99,96.5,264,339.0,3.0%,+21.5%,1.0
买点1-W1(下周一入场),36.6,2026-05-15,26.21,26.21,+0.0%,2.2,,0,0.0831,是,sh.688209,英集芯,4.52,5.42,76.5,895,,,,
买点1-W1(下周一入场),36.1,2026-05-15,61.6,61.6,+0.0%,2.05,,0,0.099,大阴线,sh.688226,威腾电气,6.11,7.33,89.9,817,,,,
买点1-W1(下周一入场),37.1,2026-05-15,43.4,43.4,+0.0%,2.35,,0,0.0788,大幅回吐/大阴线,sh.688231,隆达股份,4.64,5.57,92.1,622,,,,
买点1-W1(下周一入场),36.8,2026-05-15,60.04,60.04,+0.0%,2.28,,0,0.1852,是,sh.688253,英诺特,5.23,6.28,91.5,220,,,,
买点2,5.0,2026-04-30,188.3,191.19,,1.52,,2,,,sh.688268,华特气体,12.05,14.46,98.9,4619,164.95,12.4%,+15.9%,1.0
买点1-W1(下周一入场),36.9,2026-05-15,234.67,234.67,+0.0%,2.29,,0,0.0902,是,sh.688279,峰岹科技,5.19,6.23,79.2,644,,,,
买点1-W1(下周一入场),42.0,2026-05-15,122.3,122.3,+0.0%,4.11,,0,0.2971,大阴线,sh.688300,联瑞新材,6.51,7.81,95.3,64,,,,
买点1-W1(下周一入场),42.0,2026-05-15,141.3,141.3,+0.0%,4.46,,0,0.2171,是,sh.688301,奕瑞科技,4.56,5.47,79.9,308,,,,
买点1-W1(下周一入场),37.2,2026-05-15,127.21,127.21,+0.0%,2.41,,0,0.1856,大阴线,sh.688307,中润光学,7.55,9.06,99.1,96,,,,
买点1-W1(下周一入场),36.6,2026-05-15,122.36,122.36,+0.0%,2.19,,0,0.1112,是,sh.688359,三孚新科,4.87,5.84,90.0,226,,,,
买点1-W1(下周一入场),36.8,2026-05-15,37.07,37.07,+0.0%,2.27,,0,0.1687,是,sh.688371,菲沃泰,6.39,7.67,91.0,13,,,,
买点1-W1(下周一入场),36.6,2026-05-15,184.0,184.0,+0.0%,2.21,,0,0.1271,大阴线,sh.688368,晶丰明源,6.56,7.87,91.8,338,,,,
买点1-W1(下周一入场),37.7,2026-05-15,78.83,78.83,+0.0%,2.57,,0,0.1226,是,sh.688376,美埃科技,6.13,7.36,91.4,723,,,,
买点1-W1(下周一入场),42.0,2026-05-15,125.97,125.97,+0.0%,4.18,,0,0.2365,是,sh.688383,新益昌,6.1,7.32,93.8,292,,,,
买点2,5.0,2026-04-30,108.2,115.7,,1.41,,2,,,sh.688390,固德威,6.11,7.33,93.6,189,107.14,1.0%,+8.0%,1.0
买点1-W1(下周一入场),42.0,2026-05-15,163.9,163.9,+0.0%,4.05,,0,0.1602,大阴线,sh.688392,骄成超声,6.66,7.99,83.5,627,,,,
买点1-W1(下周一入场),42.0,2026-05-15,7.82,7.82,+0.0%,4.25,,0,0.1236,大阴线,sh.688469,芯联集成,4.14,4.97,74.4,685,,,,
买点1-W1(下周一入场),41.0,2026-05-15,15.46,15.46,+0.0%,3.67,,0,0.1712,是,sh.688512,慧智微,4.92,5.9,82.7,305,,,,
买点2,5.0,2026-04-24,30.21,31.77,,1.7,,3,,,sh.688548,广钢气体,7.23,8.68,97.4,2141,27.64,8.5%,+14.9%,2.0
买点1-W3(缩量),38.6,2026-04-30,36.2,38.6,+6.6%,2.86,0.59,2,0.0774,大阴线,sh.688633,星球石墨,7.45,8.94,84.7,1114,,,,
买点1-W1(下周一入场),37.3,2026-05-15,90.2,90.2,+0.0%,2.43,,0,0.0928,大阴线,sh.688625,呈和科技,6.76,8.11,96.1,256,,,,
买点1-W1(下周一入场),36.9,2026-05-15,353.44,353.44,+0.0%,2.29,,0,0.1781,大阴线,sh.688627,精智达,7.37,8.84,91.1,371,,,,
买点1-W1(下周一入场),39.0,2026-05-15,158.94,158.94,+0.0%,2.99,,0,0.2634,是,sh.688652,京仪装备,6.47,7.76,88.7,108,,,,
买点1-W1(下周一入场),37.2,2026-05-15,87.36,87.36,+0.0%,2.4,,0,0.1521,大阴线,sh.688662,富信科技,7.92,9.5,95.9,271,,,,
买点1-W1(下周一入场),42.0,2026-05-15,82.7,82.7,+0.0%,4.48,,0,0.2173,是,sh.688663,新风光,5.66,6.79,94.1,313,,,,
买点1-W1(下周一入场),36.7,2026-05-15,245.98,245.98,+0.0%,2.22,,0,0.0981,大阴线,sh.688668,鼎通科技,6.95,8.34,98.2,1117,,,,
买点1-W1(下周一入场),36.3,2026-05-15,65.35,65.35,+0.0%,2.09,,0,0.1688,是,sh.688679,通源环境,5.81,6.97,97.2,477,,,,
买点1-W1(下周一入场),37.5,2026-05-15,77.0,77.0,+0.0%,2.51,,0,0.2419,大阴线,sh.688700,东威科技,6.46,7.75,92.5,2677,,,,
买点1-W1(下周一入场),36.3,2026-05-15,136.04,136.04,+0.0%,2.11,,0,0.266,是,sh.688693,锴威特,8.89,10.67,99.2,49,,,,
买点1-W1(下周一入场),38.8,2026-05-15,91.52,91.52,+0.0%,2.92,,0,0.1166,大阴线,sh.688720,艾森股份,5.53,6.64,89.8,518,,,,
买点1-W1(下周一入场),37.5,2026-05-15,36.6,36.6,+0.0%,2.52,,0,0.1331,是,sh.688733,壹石通,4.54,5.45,67.8,237,,,,
买点1-W1(下周一入场),38.7,2026-05-15,404.5,404.5,+0.0%,2.89,,0,0.274,是,sh.688766,普冉股份,7.15,8.58,98.4,54,,,,
买点1-W1(下周一入场),37.4,2026-05-15,33.12,33.12,+0.0%,2.46,,0,0.2603,大阴线,sz.000811,冰轮环境,6.12,7.34,96.5,133,,,,
买点1-W1(下周一入场),40.2,2026-05-15,32.73,32.73,+0.0%,3.41,,0,0.1484,是,sz.000935,四川双马,4.25,5.1,88.8,616,,,,
买点1-W1(下周一入场),36.3,2026-05-15,712.06,712.06,+0.0%,2.09,,0,0.1913,大阴线,sz.001309,德明利,5.93,7.12,97.3,76,,,,
买点1-W1(下周一入场),37.0,2026-05-15,143.3,143.3,+0.0%,2.33,,0,0.174,是,sz.002008,大族激光,5.83,7.0,99.6,82,,,,
买点1-W1(下周一入场),41.5,2026-05-15,23.03,23.03,+0.0%,3.82,,0,0.2537,是,sz.002034,旺能环境,4.75,5.7,80.0,221,,,,
买点1-W1(下周一入场),37.5,2026-05-15,7.85,7.85,+0.0%,2.51,,0,0.1544,大阴线,sz.002081,金螳螂,8.83,10.6,96.4,25,,,,
买点1-W1(下周一入场),36.7,2026-05-15,25.91,25.91,+0.0%,2.24,,0,0.1761,是,sz.002245,蔚蓝锂芯,4.57,5.48,86.6,199,,,,
买点1-W1(下周一入场),42.0,2026-05-15,14.18,14.18,+0.0%,5.72,,0,0.2193,大阴线,sz.002254,泰和新材,4.53,5.44,83.2,196,,,,
买点1-W1(下周一入场),37.1,2026-05-15,38.0,38.0,+0.0%,2.37,,0,0.0506,大阴线,sz.002273,水晶光电,5.92,7.1,88.4,464,,,,
买点1-W1(下周一入场),40.0,2026-05-15,42.18,42.18,+0.0%,3.32,,0,0.1649,大阴线,sz.002380,科远智慧,4.57,5.48,86.6,369,,,,
买点2,5.0,2026-04-30,20.17,21.19,,1.46,,2,,,sz.002395,双象股份,4.74,5.69,73.3,1111,20.15,0.1%,+5.2%,1.0
买点1-W1(下周一入场),40.1,2026-05-15,107.46,107.46,+0.0%,3.36,,0,0.2093,是,sz.002409,雅克科技,5.31,6.37,83.0,230,,,,
买点1-W1(下周一入场),38.5,2026-05-15,57.92,57.92,+0.0%,2.82,,0,0.2097,是,sz.002518,科士达,4.16,4.99,73.9,258,,,,
买点1-W1(下周一入场),40.4,2026-05-15,16.57,16.57,+0.0%,3.45,,0,0.1076,是,sz.002654,万润科技,4.94,5.93,45.6,554,,,,
买点1-W1(下周一入场),39.3,2026-05-15,15.53,15.53,+0.0%,3.12,,0,0.0837,大阴线,sz.002708,光洋股份,4.17,5.0,69.1,542,,,,
买点1-W3(缩量),36.6,2026-04-30,51.16,55.3,+8.1%,2.2,0.79,2,0.2632,是,sz.002785,万里石,4.99,5.99,84.7,391,,,,
买点2,5.0,2026-04-30,20.24,21.14,,1.74,,2,,,sz.002832,比音勒芬,3.65,4.38,78.9,533,19.59,3.2%,+7.9%,1.0
买点1-W1(下周一入场),38.2,2026-05-15,27.35,27.35,+0.0%,2.74,,0,0.1349,是,sz.002886,沃特股份,3.55,4.26,81.5,282,,,,
买点1-W1(下周一入场),42.0,2026-05-15,92.99,92.99,+0.0%,4.99,,0,0.1887,大阴线,sz.002929,润建股份,5.96,7.15,96.4,14,,,,
买点1-W1(下周一入场),37.5,2026-05-15,59.1,59.1,+0.0%,2.48,,0,0.1436,是,sz.002993,奥海科技,4.91,5.89,82.3,240,,,,
买点2,5.0,2026-04-24,57.28,59.14,,1.42,,3,,,sz.003018,金富科技,6.11,7.33,99.7,1482,48.36,15.6%,+22.3%,2.0
买点1-W1(下周一入场),36.6,2026-05-15,160.6,160.6,+0.0%,2.2,,0,0.1466,大阴线,sz.003031,中瓷电子,5.61,6.73,98.9,192,,,,
买点1-W1(下周一入场),42.0,2026-05-15,36.05,36.05,+0.0%,4.31,,0,0.1981,是,sz.300001,特锐德,4.24,5.09,77.0,540,,,,
买点1-W1(下周一入场),42.0,2026-05-15,16.37,16.37,+0.0%,8.02,,0,0.1993,是,sz.300004,南风股份,4.83,5.8,86.4,239,,,,
买点1-W1(下周一入场),36.7,2026-05-15,21.53,21.53,+0.0%,2.24,,0,0.1948,是,sz.300131,英唐智控,6.89,8.27,92.5,190,,,,
买点1-W1(下周一入场),36.3,2026-05-15,14.85,14.85,+0.0%,2.11,,0,0.153,是,sz.300201,海伦哲,4.2,5.04,97.5,381,,,,
买点1-W1(下周一入场),38.7,2026-05-15,23.36,23.36,+0.0%,2.9,,0,0.1429,是,sz.300199,翰宇药业,4.79,5.75,70.7,1676,,,,
买点1-W1(下周一入场),42.0,2026-05-15,5.28,5.28,+0.0%,7.04,,0,0.1786,是,sz.300259,新天科技,4.13,4.96,68.2,425,,,,
买点1-W1(下周一入场),40.7,2026-05-15,63.43,63.43,+0.0%,3.58,,0,0.1941,是,sz.300260,新莱应材,4.66,5.59,73.5,286,,,,
买点1-W1(下周一入场),39.4,2026-05-15,13.74,13.74,+0.0%,3.12,,0,0.2149,是,sz.300263,隆华科技,4.08,4.9,87.9,187,,,,
买点1-W1(下周一入场),40.8,2026-05-15,23.4,23.4,+0.0%,3.59,,0,0.2006,大阴线,sz.300265,通光线缆,6.97,8.36,96.9,218,,,,
买点1-W1(下周一入场),42.0,2026-05-15,6.55,6.55,+0.0%,7.22,,0,0.1887,是,sz.300292,吴通控股,5.79,6.95,85.0,262,,,,
买点1-W1(下周一入场),38.7,2026-05-15,44.56,44.56,+0.0%,2.9,,0,0.2552,是,sz.300302,同有科技,7.1,8.52,93.5,11,,,,
买点1-W1(下周一入场),36.7,2026-05-15,1049.87,1049.87,+0.0%,2.22,,0,0.185,大阴线,sz.300308,中际旭创,5.11,6.13,95.6,251,,,,
买点1-W1(下周一入场),37.1,2026-05-15,399.99,399.99,+0.0%,2.36,,0,0.2258,是,sz.300394,天孚通信,5.83,7.0,97.2,219,,,,
买点1-W1(下周一入场),42.0,2026-05-15,40.28,40.28,+0.0%,4.24,,0,0.2371,是,sz.300478,杭州高新,4.54,5.45,88.0,138,,,,
买点2,5.0,2026-04-17,589.0,610.05,,1.98,,4,,,sz.300502,新易盛,6.15,7.38,93.1,785,525.79,10.7%,+16.0%,3.0
买点1-W1(下周一入场),38.1,2026-05-15,209.5,209.5,+0.0%,2.7,,0,0.151,大幅回吐/大阴线,sz.300604,长川科技,7.37,8.84,98.0,599,,,,
买点1-W3(缩量),40.9,2026-04-30,59.05,63.12,+6.9%,3.63,0.6,2,0.053,大幅回吐/大阴线,sz.300613,富瀚微,6.27,7.52,82.6,3692,,,,
买点1-W1(下周一入场),39.1,2026-05-15,33.14,33.14,+0.0%,3.04,,0,0.1802,大阴线,sz.300626,华瑞股份,5.92,7.1,97.4,247,,,,
买点1-W1(下周一入场),37.5,2026-05-15,107.9,107.9,+0.0%,2.49,,0,0.2206,是,sz.300661,圣邦股份,5.91,7.09,87.2,375,,,,
买点1-W1(下周一入场),40.2,2026-05-15,17.0,17.0,+0.0%,3.39,,0,0.1486,大阴线,sz.300715,凯伦股份,5.87,7.04,85.0,415,,,,
买点1-W1(下周一入场),37.4,2026-05-15,85.78,85.78,+0.0%,2.46,,0,0.1119,大阴线,sz.300731,科创新源,5.85,7.02,95.2,344,,,,
买点1-W1(下周一入场),36.5,2026-05-15,589.98,589.98,+0.0%,2.15,,0,0.1363,大阴线,sz.300757,罗博特科,6.18,7.42,98.4,612,,,,
买点1-W3(温和),27.5,2026-04-30,71.95,74.11,+3.0%,2.5,1.15,2,0.4273,是,sz.300769,德方纳米,7.38,8.86,81.3,78,,,,
买点1-W1(下周一入场),37.5,2026-05-15,147.06,147.06,+0.0%,2.49,,0,0.2866,是,sz.300776,帝尔激光,7.03,8.44,95.0,241,,,,
买点1-W1(下周一入场),40.4,2026-05-15,133.63,133.63,+0.0%,3.48,,0,0.2874,大阴线,sz.300782,卓胜微,6.3,7.56,93.1,246,,,,
买点1-W1(下周一入场),36.7,2026-05-15,94.85,94.85,+0.0%,2.25,,0,0.1372,大阴线,sz.300816,艾可蓝,6.28,7.54,95.7,165,,,,
买点1-W1(下周一入场),42.0,2026-05-15,63.85,63.85,+0.0%,5.0,,0,0.2659,是,sz.300820,英杰电气,5.73,6.88,68.9,42,,,,
买点2,5.0,2026-04-30,15.18,15.86,,1.79,,2,,,sz.300821,东岳硅材,5.39,6.47,78.2,1518,14.78,2.6%,+7.3%,1.0
买点1-W1(下周一入场),36.9,2026-05-15,11.32,11.32,+0.0%,2.3,,0,0.0969,是,sz.300825,阿尔特,3.74,4.49,59.3,310,,,,
买点1-W1(下周一入场),36.5,2026-05-15,19.15,19.15,+0.0%,2.18,,0,0.1044,大阴线,sz.300839,博汇股份,5.09,6.11,85.9,208,,,,
买点1-W1(下周一入场),36.2,2026-05-15,94.99,94.99,+0.0%,2.07,,0,0.1322,大阴线,sz.300843,胜蓝股份,6.99,8.39,95.1,179,,,,
买点1-W1(下周一入场),36.0,2026-05-15,134.5,134.5,+0.0%,2.01,,0,0.1255,大阴线,sz.300866,安克创新,4.9,5.88,75.6,827,,,,
买点1-W1(下周一入场),38.0,2026-05-15,36.2,36.2,+0.0%,2.68,,0,0.142,大阴线,sz.300878,维康药业,5.27,6.32,77.6,124,,,,
买点1-W1(下周一入场),37.3,2026-05-15,75.05,75.05,+0.0%,2.44,,0,0.2926,大阴线,sz.300903,科翔股份,8.08,9.7,99.4,19,,,,
买点1-W1(下周一入场),37.5,2026-05-15,51.61,51.61,+0.0%,2.51,,0,0.2542,是,sz.300983,尤安设计,5.24,6.29,94.6,26,,,,
买点1-W1(下周一入场),39.5,2026-05-15,44.5,44.5,+0.0%,3.18,,0,0.1819,是,sz.301007,德迈仕,4.53,5.44,69.5,223,,,,
买点1-W1(下周一入场),36.2,2026-05-15,175.48,175.48,+0.0%,2.08,,0,0.1334,是,sz.301031,中熔电气,5.73,6.88,90.6,1610,,,,
买点1-W1(下周一入场),37.6,2026-05-15,114.09,114.09,+0.0%,2.54,,0,0.2053,是,sz.301095,广立微,5.52,6.62,89.3,111,,,,
买点1-W3(缩量),36.3,2026-04-30,37.35,36.98,-1.0%,2.11,0.65,2,0.273,大阴线,sz.301176,逸豪新材,8.06,9.67,84.8,855,,,,
买点1-W1(下周一入场),39.9,2026-05-15,35.49,35.49,+0.0%,3.29,,0,0.2905,是,sz.301188,力诺药包,7.93,9.52,95.0,166,,,,
买点1-W1(下周一入场),42.0,2026-05-15,154.98,154.98,+0.0%,4.37,,0,0.2398,大阴线,sz.301196,唯科科技,6.67,8.0,95.5,164,,,,
买点1-W1(下周一入场),39.5,2026-05-15,221.95,221.95,+0.0%,3.15,,0,0.182,大阴线,sz.301200,大族数控,6.55,7.86,93.2,468,,,,
买点1-W1(下周一入场),40.3,2026-05-15,120.46,120.46,+0.0%,3.44,,0,0.0961,大阴线,sz.301285,鸿日达,5.01,6.01,96.4,625,,,,
买点1-W1(下周一入场),37.0,2026-05-15,107.29,107.29,+0.0%,2.32,,0,0.1333,大幅回吐/大阴线,sz.301319,唯特偶,8.81,10.57,98.6,27,,,,
买点1-W1(下周一入场),39.5,2026-05-15,242.55,242.55,+0.0%,3.17,,0,0.1235,大阴线,sz.301369,联动科技,6.64,7.97,97.0,46,,,,
