信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认,辨识度级别
买点2,5.0,2026-04-30,10.72,10.34,3.5%,11.75,+13.6%,1.12,2.0,3,sh.600186,莲花控股,7.48,8.98,94.1,494,,,,,2
买点1-W2(缩量),52.0,2026-05-15,14.82,,,14.86,,4.65,,1,sh.600449,宁夏建材,4.06,4.87,66.3,539,+0.3%,0.79,0.1068,大阴线,5
买点1-W1(下周一入场),39.1,2026-05-22,8.22,,,8.22,,3.04,,0,sh.600578,京能电力,7.67,9.2,91.4,16,+0.0%,,0.1726,大幅回吐/大阴线,
买点1-W2(温和),37.9,2026-05-15,10.69,,,11.1,,2.62,,1,sh.600707,彩虹股份,7.34,8.81,92.6,178,+3.8%,0.93,0.2038,是,2
买点1-W1(下周一入场),37.1,2026-05-22,10.31,,,10.31,,2.37,,0,sh.600888,新疆众和,3.58,4.3,76.4,248,+0.0%,,0.2497,是,
买点1-W2(温和),42.0,2026-05-15,5.47,,,5.78,,4.61,,1,sh.600936,北投科技,7.39,8.87,88.5,501,+5.7%,0.91,0.058,大阴线,3
买点1-W2(缩量),52.0,2026-05-15,13.0,,,13.87,,14.96,,1,sh.601609,金田股份,5.73,6.88,80.5,88,+6.7%,0.78,0.2536,是,1
买点1-W2(缩量),47.9,2026-05-15,21.68,,,23.1,,2.63,,1,sh.603269,海鸥股份,6.49,7.79,93.2,70,+6.5%,0.76,0.2851,是,1
买点1-W2(温和),41.3,2026-05-15,124.95,,,131.75,,3.77,,1,sh.603290,斯达半导,5.75,6.9,79.4,188,+5.4%,0.94,0.1759,是,2
买点1-W1(下周一入场),38.4,2026-05-22,22.76,,,22.76,,2.79,,0,sh.603505,金石资源,4.98,5.98,69.7,257,+0.0%,,0.1173,大阴线,
买点1-W2(温和),36.9,2026-05-15,69.53,,,74.55,,2.31,,1,sh.603688,石英股份,6.47,7.76,93.3,413,+7.2%,0.84,0.0615,大幅回吐/大阴线,2
