信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数,辨识度级别
买点1-W1(下周一入场),35.3,2026-08-28,27.82,27.82,+0.0%,1.75,,0,0.0808,是,sh.600060,海信视像,2.93,3.52,90.9,465,,,,,
买点2,5.0,2026-08-14,4.7,5.36,,0.86,,2,,,sh.600162,香江控股,7.82,9.38,99.7,222,4.18,11.1%,+28.2%,1.0,1
买点1-W1(下周一入场),38.1,2026-08-28,4.41,4.41,+0.0%,2.7,,0,0.097,是,sh.600368,五洲交通,2.11,2.53,86.4,293,,,,,
买点2,5.0,2026-08-14,8.91,9.0,,0.89,,2,,,sh.600664,哈药股份,5.94,7.13,99.5,2289,8.17,8.3%,+10.2%,1.0,5
买点1-W1(下周一入场),38.0,2026-08-28,14.33,14.33,+0.0%,2.66,,0,0.1283,是,sh.601038,一拖股份,3.07,3.68,76.0,258,,,,,
买点1-W1(下周一入场),34.9,2026-08-28,3.82,3.82,+0.0%,1.62,,0,0.0582,是,sh.601162,天风证券,2.49,2.99,72.1,1764,,,,,
买点2,5.0,2026-07-31,13.83,14.05,,1.22,,4,,,sh.601198,东兴证券,1.76,2.11,80.6,1525,13.6,1.7%,+3.3%,3.0,4
买点1-W1(下周一入场),35.6,2026-08-28,27.45,27.45,+0.0%,1.88,,0,0.1109,大阴线,sh.601233,桐昆股份,4.93,5.92,89.3,106,,,,,
买点1-W1(下周一入场),36.0,2026-08-28,4.23,4.23,+0.0%,1.99,,0,0.0602,是,sh.601375,中原证券,1.84,2.21,76.4,1282,,,,,
买点1-W1(下周一入场),35.3,2026-08-28,10.88,10.88,+0.0%,1.75,,0,0.0772,大幅回吐/大阴线,sh.601918,新集能源,3.84,4.61,92.9,439,,,,,
买点1-W3(温和),32.0,2026-08-14,11.75,12.91,+9.9%,8.96,1.45,2,0.4208,是,sh.601886,江河集团,7.22,8.66,95.6,412,,,,,
买点1-W1(下周一入场),35.8,2026-08-28,9.49,9.49,+0.0%,1.93,,0,0.0896,大阴线,sh.603055,台华新材,3.56,4.27,76.6,853,,,,,
买点1-W1(下周一入场),36.5,2026-08-28,20.15,20.15,+0.0%,2.18,,0,0.0639,大阴线,sh.603132,金徽股份,4.65,5.58,86.5,338,,,,,
买点1-W1(下周一入场),37.7,2026-08-28,5.62,5.62,+0.0%,2.56,,0,0.0544,是,sh.603128,华贸物流,1.66,1.99,75.0,767,,,,,
买点2,5.0,2026-08-14,15.87,16.01,,0.55,,2,,,sh.603151,邦基科技,5.12,6.14,52.9,2328,15.6,1.7%,+2.6%,1.0,5
买点2,5.0,2026-08-14,41.11,42.65,,0.79,,2,,,sh.603373,安邦护卫,4.78,5.74,92.6,1348,38.61,6.1%,+10.5%,1.0,2
买点1-W1(下周一入场),35.5,2026-08-28,31.0,31.0,+0.0%,1.82,,0,0.124,是,sh.603395,红四方,7.36,8.83,74.3,18,,,,,
买点1-W1(下周一入场),36.3,2026-08-28,13.15,13.15,+0.0%,2.12,,0,0.07,大幅回吐/大阴线,sh.603565,中谷物流,5.11,6.13,89.5,59,,,,,
买点2,5.0,2026-08-07,22.57,24.12,,1.18,,3,,,sh.603679,华体科技,5.46,6.55,96.3,566,22.31,1.2%,+8.1%,2.0,1
