信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票名称,股票代码,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数,辨识度级别
买点1-W1(下周一入场),35.5,2026-09-18,44.15,44.15,+0.0%,1.82,,0,0.142,是,大连圣亚,sh.600593,3.91,4.69,85.1,617,,,,,
买点1-W3(缩量),41.4,2026-09-04,21.88,22.61,+3.3%,3.79,0.48,2,0.0529,大阴线,天目药业,sh.600671,4.27,5.12,73.4,953,,,,,
买点1-W1(下周一入场),35.2,2026-09-18,24.33,24.33,+0.0%,1.74,,0,0.0742,大阴线,浙江黎明,sh.603048,3.71,4.45,86.3,1006,,,,,
买点1-W1(下周一入场),35.7,2026-09-18,25.67,25.67,+0.0%,1.9,,0,0.1269,是,鹿山新材,sh.603051,3.65,4.38,86.8,105,,,,,
买点2,5.0,2026-08-21,17.79,18.43,,0.93,,4,,,共进股份,sh.603118,5.74,6.89,92.6,268,15.95,10.3%,+15.5%,3.0,2
买点1-W1(下周一入场),38.2,2026-09-18,72.54,72.54,+0.0%,2.73,,0,0.2314,是,移远通信,sh.603236,4.42,5.3,92.6,185,,,,,
买点1-W1(下周一入场),35.2,2026-09-18,208.0,208.0,+0.0%,1.74,,0,0.0532,大幅回吐/大阴线,松发股份,sh.603268,4.18,5.02,97.2,530,,,,,
买点1-W1(下周一入场),36.3,2026-09-18,35.58,35.58,+0.0%,2.08,,0,0.2467,是,春光科技,sh.603657,5.27,6.32,92.3,13,,,,,
买点2,5.0,2026-09-04,7.94,8.82,,0.83,,2,,,吉华集团,sh.603980,7.02,8.42,92.4,373,7.92,0.3%,+11.4%,1.0,2
买点2,5.0,2026-08-21,25.27,26.04,,1.18,,4,,,甬金股份,sh.603995,3.62,4.34,95.0,742,23.66,6.4%,+10.1%,3.0,2
买点2,5.0,2026-09-04,180.45,186.8,,0.67,,2,,,睿创微纳,sh.688002,3.9,4.68,97.4,929,177.0,1.9%,+5.5%,1.0,2
买点1-W3(缩量),40.1,2026-09-04,20.65,21.02,+1.8%,3.36,0.78,2,0.2508,是,洁特生物,sh.688026,6.5,7.8,89.4,1159,,,,,
买点2,5.0,2026-09-04,34.5,37.33,,0.98,,2,,,英集芯,sh.688209,7.13,8.56,97.5,515,32.51,5.8%,+14.8%,1.0,1
买点2,5.0,2026-08-14,66.37,70.7,,1.0,,5,,,奥浦迈,sh.688293,7.43,8.92,95.6,45,54.62,17.7%,+29.4%,4.0,1
